MSSV,Họ,Tên,Lớp,Điểm
N20DCPT001,Nguyễn,Văn Anh,D20CQPM01,8.5
N20DCPT002,Trần,Thị Bình,D20CQIT02,7.9
N20DCPT003,Lê,Hoàng Cường,D20CQIS01,9.1
N20DCPT004,Phạm,Minh Đức,D20CQTE03,6.5
N20DCPT005,Võ,Ngọc Hạnh,D20CQPM02,8.8
N20DCPT006,Đỗ,Thanh Hùng,D20CQIT01,7.2
N20DCPT007,Huỳnh,Bảo Linh,D20CQIS02,9.5
N20DCPT008,Ngô,Gia Khánh,D20CQTE01,8.1
N20DCPT009,Đặng,Mỹ Linh,D20CQPM01,7.6
N20DCPT010,Bùi,Tuấn Việt,D20CQIT03,6.9
N20DCPT011,Trương,Ánh Dương,D20CQPM01,8.2
N20DCPT012,Vũ,Đức Thành,D20CQIT01,7.4
N20DCPT013,Cao,Linh Chi,D20CQIS03,9.0
N20DCPT014,Mai,Long Vũ,D20CQTE02,6.8
N20DCPT015,Lý,Hiền Thảo,D20CQPM03,8.6
N20DCPT016,Dương,Khánh Linh,D20CQIT02,7.1
N20DCPT017,Trịnh,Thảo Nguyên,D20CQIS01,9.3
N20DCPT018,Hồ,Đạt Nguyên,D20CQTE01,7.0
N20DCPT019,Lâm,Thu Hà,D20CQPM02,8.4
N20DCPT020,Đinh,Nam Phong,D20CQIT03,6.7
N20DCPT021,Nguyễn,Lân Anh,D20CQIS02,9.2
N20DCPT022,Trần,Hùng Phát,D20CQTE03,7.3
N20DCPT023,Lê,Mai Phương,D20CQPM01,8.0
N20DCPT024,Phạm,Sơn Tùng,D20CQIT01,7.7
N20DCPT025,Võ,Hương Giang,D20CQIS03,8.9
N20DCPT026,Đỗ,Phong Vũ,D20CQTE02,6.6
N20DCPT027,Huỳnh,Nga My,D20CQPM03,8.3
N20DCPT028,Ngô,Vinh Khang,D20CQIT02,7.5
N20DCPT029,Đặng,Hoa Sen,D20CQIS01,9.4
N20DCPT030,Bùi,Quang Minh,D20CQTE01,6.9
N20DCPT031,Trương,Loan Châu,D20CQPM02,8.1
N20DCPT032,Vũ,Hải Đăng,D20CQIT03,7.8
N20DCPT033,Cao,Tâm An,D20CQIS02,9.1
N20DCPT034,Mai,Dũng Kiên,D20CQTE03,6.4
N20DCPT035,Lý,Chi Mai,D20CQPM01,8.7
N20DCPT036,Dương,Bình Minh,D20CQIT01,7.2
N20DCPT037,Trịnh,Yến Nhi,D20CQIS03,9.0
N20DCPT038,Hồ,Tùng Lâm,D20CQTE02,7.6
N20DCPT039,Lâm,Văn Hưng,D20CQPM03,8.5
N20DCPT040,Đinh,Phương Anh,D20CQIT02,6.8
N20DCPT041,Nguyễn,Khoa Học,D20CQIS01,9.3
N20DCPT042,Trần,Linh Đan,D20CQTE01,7.4
N20DCPT043,Lê,Đức Anh,D20CQPM02,8.2
N20DCPT044,Phạm,Hồng Nhung,D20CQIT03,7.0
N20DCPT045,Võ,Tiến Đạt,D20CQIS02,8.8
N20DCPT046,Đỗ,Minh Tuấn,D20CQTE03,6.7
N20DCPT047,Huỳnh,Thủy Tiên,D20CQPM01,8.4
N20DCPT048,Ngô,Lộc Phát,D20CQIT01,7.3
N20DCPT049,Đặng,Nhi Yến,D20CQIS03,9.2
N20DCPT050,Bùi,Kiên Cường,D20CQTE02,6.5
N20DCPT051,Trương,Giang Hà,D20CQPM03,8.6
N20DCPT052,Vũ,Thăng Long,D20CQIT02,7.9
N20DCPT053,Cao,Oanh Kiều,D20CQIS01,9.5
N20DCPT054,Mai,Cường Thịnh,D20CQTE01,7.1
N20DCPT055,Lý,Xuân Mai,D20CQPM02,8.3
N20DCPT056,Dương,Trung Hiếu,D20CQIT03,6.9
N20DCPT057,Trịnh,Bích Ngọc,D20CQIS02,9.1
N20DCPT058,Hồ,Thanh Bình,D20CQTE03,7.7
N20DCPT059,Lâm,Tuyết Mai,D20CQPM01,8.0
N20DCPT060,Đinh,Hoàng Nam,D20CQIT01,7.5
N20DCPT061,Nguyễn,Sương Sa,D20CQIS03,8.9
N20DCPT062,Trần,Duy Khánh,D20CQTE02,6.6
N20DCPT063,Lê,Kim Ngân,D20CQPM03,8.8
N20DCPT064,Phạm,Tấn Đạt,D20CQIT02,7.2
N20DCPT065,Võ,Diệp Anh,D20CQIS01,9.4
N20DCPT066,Đỗ,Huy Hoàng,D20CQTE01,6.8
N20DCPT067,Huỳnh,Lan Hương,D20CQPM02,8.1
N20DCPT068,Ngô,Bảo Long,D20CQIT03,7.6
N20DCPT069,Đặng,Châu Anh,D20CQIS02,9.0
N20DCPT070,Bùi,Phúc An,D20CQTE03,7.4
N20DCPT071,Trương,Mỹ Duyên,D20CQPM01,8.5
N20DCPT072,Vũ,Lâm Tú,D20CQIT01,6.7
N20DCPT073,Cao,Thiên Ân,D20CQIS03,9.3
N20DCPT074,Mai,Quỳnh Như,D20CQTE02,7.8
N20DCPT075,Lý,Đức Thịnh,D20CQPM03,8.2
N20DCPT076,Dương,Hiếu Nghĩa,D20CQIT02,7.0
N20DCPT077,Trịnh,Ngọc Hân,D20CQIS01,8.7
N20DCPT078,Hồ,Vinh Quang,D20CQTE01,6.9
N20DCPT079,Lâm,Hương Ly,D20CQPM02,8.4
N20DCPT080,Đinh,Đạt Phong,D20CQIT03,7.3
N20DCPT081,Nguyễn,Thảo Nguyên,D20CQIS02,9.2
N20DCPT082,Trần,Nam Khánh,D20CQTE03,6.5
N20DCPT083,Lê,Thu Hằng,D20CQPM01,8.6
N20DCPT084,Phạm,Khánh Linh,D20CQIT01,7.9
N20DCPT085,Võ,Linh Đan,D20CQIS03,9.1
N20DCPT086,Đỗ,Sơn Tùng,D20CQTE02,7.1
N20DCPT087,Huỳnh,Mai Phương,D20CQPM03,8.3
N20DCPT088,Ngô,Hùng Vương,D20CQIT02,6.8
N20DCPT089,Đặng,Yến Nhi,D20CQIS01,9.0
N20DCPT090,Bùi,Long Thành,D20CQTE01,7.5
N20DCPT091,Trương,Ánh Tuyết,D20CQPM02,8.1
N20DCPT092,Vũ,Minh Tuấn,D20CQIT03,7.8
N20DCPT093,Cao,Thanh Hà,D20CQIS02,9.1
N20DCPT094,Mai,Xuân Hiếu,D20CQTE03,6.4
N20DCPT095,Lý,Bảo Ngọc,D20CQPM01,8.7
N20DCPT096,Dương,Thành Đạt,D20CQIT01,7.2
N20DCPT097,Trịnh,Hồng Nhung,D20CQIS03,9.0
N20DCPT098,Hồ,Văn Đức,D20CQTE02,7.6
N20DCPT099,Lâm,Thiên Ân,D20CQPM03,8.5
N20DCPT100,Đinh,Quốc Bảo,D20CQIT02,6.8
N21DCPT001,Nguyễn,Minh Châu,D21CQPM01,8.9
N21DCPT002,Trần,Bích Ngọc,D21CQIT02,7.3
N21DCPT003,Lê,Thành Công,D21CQIS01,9.2
N21DCPT004,Phạm,Hải Yến,D21CQTE03,6.7
N21DCPT005,Võ,Diễm My,D21CQPM02,8.4
N21DCPT006,Đỗ,Quang Huy,D21CQIT01,7.8
N21DCPT007,Huỳnh,Lan Anh,D21CQIS02,9.1
N21DCPT008,Ngô,Trung Kiên,D21CQTE01,8.0
N21DCPT009,Đặng,Phương Thảo,D21CQPM01,7.5
N21DCPT010,Bùi,Hoàng Long,D21CQIT03,6.9
N21DCPT011,Trương,Thu Hương,D21CQPM01,8.3
N21DCPT012,Vũ,Anh Tuấn,D21CQIT01,7.1
N21DCPT013,Cao,Ngọc Diệp,D21CQIS03,9.4
N21DCPT014,Mai,Đức Minh,D21CQTE02,6.6
N21DCPT015,Lý,Tuyết Lan,D21CQPM03,8.8
N21DCPT016,Dương,Văn Khôi,D21CQIT02,7.4
N21DCPT017,Trịnh,Hà My,D21CQIS01,9.0
N21DCPT018,Hồ,Thái Sơn,D21CQTE01,7.2
N21DCPT019,Lâm,Khánh Ly,D21CQPM02,8.6
N21DCPT020,Đinh,Gia Bảo,D21CQIT03,6.8
N21DCPT021,Nguyễn,Thu Trang,D21CQIS02,9.3
N21DCPT022,Trần,Minh Đức,D21CQTE03,7.0
N21DCPT023,Lê,Hương Giang,D21CQPM01,8.2
N21DCPT024,Phạm,Công Danh,D21CQIT01,7.9
N21DCPT025,Võ,Thảo Vy,D21CQIS03,8.7
N21DCPT026,Đỗ,Hữu Thành,D21CQTE02,6.5
N21DCPT027,Huỳnh,Kim Oanh,D21CQPM03,8.1
N21DCPT028,Ngô,Đình Khang,D21CQIT02,7.7
N21DCPT029,Đặng,Mỹ Hạnh,D21CQIS01,9.5
N21DCPT030,Bùi,Thanh Tùng,D21CQTE01,6.9
N21DCPT031,Trương,Phúc An,D21CQPM02,8.0
N21DCPT032,Vũ,Ngọc Hân,D21CQIT03,7.6
N21DCPT033,Cao,Tiến Dũng,D21CQIS02,9.1
N21DCPT034,Mai,Ánh Dương,D21CQTE03,6.3
N21DCPT035,Lý,Hoài Thu,D21CQPM01,8.9
N21DCPT036,Dương,Quý Hưng,D21CQIT01,7.1
N21DCPT037,Trịnh,Diệu Linh,D21CQIS03,8.8
N21DCPT038,Hồ,Bảo Trung,D21CQTE02,7.4
N21DCPT039,Lâm,Thanh Xuân,D21CQPM03,8.5
N21DCPT040,Đinh,Hồng Phúc,D21CQIT02,6.7
N21DCPT041,Nguyễn,Thiên Kim,D21CQIS01,9.2
N21DCPT042,Trần,Văn Hải,D21CQTE01,7.3
N21DCPT043,Lê,Bích Thảo,D21CQPM02,8.4
N21DCPT044,Phạm,Quang Minh,D21CQIT03,7.8
N21DCPT045,Võ,Hạnh Phúc,D21CQIS02,9.0
N21DCPT046,Đỗ,Thành Luân,D21CQTE03,6.6
N21DCPT047,Huỳnh,Ngọc Yến,D21CQPM01,8.2
N21DCPT048,Ngô,Minh Hùng,D21CQIT01,7.5
N21DCPT049,Đặng,Thu Hiền,D21CQIS03,9.4
N21DCPT050,Bùi,Đăng Khoa,D21CQTE02,6.8
N21DCPT051,Trương,Linh Chi,D21CQPM03,8.6
N21DCPT052,Vũ,Hồng Sơn,D21CQIT02,7.2
N21DCPT053,Cao,Mỹ Dung,D21CQIS01,9.1
N21DCPT054,Mai,Thịnh Vượng,D21CQTE01,7.0
N21DCPT055,Lý,Châu Anh,D21CQPM02,8.3
N21DCPT056,Dương,Hải Đăng,D21CQIT03,6.9
N21DCPT057,Trịnh,Thanh Thúy,D21CQIS02,8.9
N21DCPT058,Hồ,Ngọc Thành,D21CQTE03,7.7
N21DCPT059,Lâm,Hoa Sen,D21CQPM01,8.1
N21DCPT060,Đinh,Minh Quân,D21CQIT01,7.4
N21DCPT061,Nguyễn,Thúy Hằng,D21CQIS03,9.3
N21DCPT062,Trần,Phú Quý,D21CQTE02,6.5
N21DCPT063,Lê,Ngọc Mai,D21CQPM03,8.8
N21DCPT064,Phạm,Hoàng Ân,D21CQIT02,7.6
N21DCPT065,Võ,Thúy Kiều,D21CQIS01,9.2
N21DCPT066,Đỗ,Tấn Phát,D21CQTE01,6.8
N21DCPT067,Huỳnh,Mỹ Linh,D21CQPM02,8.0
N21DCPT068,Ngô,Quốc Khánh,D21CQIT03,7.3
N21DCPT069,Đặng,Hạnh Phúc,D21CQIS02,9.0
N21DCPT070,Bùi,Đức Thắng,D21CQTE03,7.1
N21DCPT071,Trương,Diễm Quỳnh,D21CQPM01,8.5
N21DCPT072,Vũ,Thanh Bình,D21CQIT01,6.7
N21DCPT073,Cao,Ngọc Bích,D21CQIS03,9.4
N21DCPT074,Mai,Hữu Đức,D21CQTE02,7.8
N21DCPT075,Lý,Tường Vi,D21CQPM03,8.2
N21DCPT076,Dương,Minh Châu,D21CQIT02,7.0
N21DCPT077,Trịnh,Quỳnh Giao,D21CQIS01,8.7
N21DCPT078,Hồ,Công Thành,D21CQTE01,6.9
N21DCPT079,Lâm,Băng Tâm,D21CQPM02,8.4
N21DCPT080,Đinh,Trọng Nghĩa,D21CQIT03,7.5
N21DCPT081,Nguyễn,Hương Thảo,D21CQIS02,9.1
N21DCPT082,Trần,Quang Huy,D21CQTE03,6.6
N21DCPT083,Lê,Phương Nam,D21CQPM01,8.6
N21DCPT084,Phạm,Thế Vinh,D21CQIT01,7.9
N21DCPT085,Võ,Kim Ngân,D21CQIS03,8.8
N21DCPT086,Đỗ,Hạnh Phương,D21CQTE02,7.2
N21DCPT087,Huỳnh,Trúc Mai,D21CQPM03,8.3
N21DCPT088,Ngô,Đại Thành,D21CQIT02,6.8
N21DCPT089,Đặng,Tuyết Trinh,D21CQIS01,9.3
N21DCPT090,Bùi,Minh Thắng,D21CQTE01,7.4
N21DCPT091,Trương,Hạnh Chi,D21CQPM02,8.1
N21DCPT092,Vũ,Thế Dũng,D21CQIT03,7.7
N21DCPT093,Cao,Diệu Hương,D21CQIS02,9.2
N21DCPT094,Mai,Văn Hưng,D21CQTE03,6.4
N21DCPT095,Lý,Thành Trung,D21CQPM01,8.9
N21DCPT096,Dương,Bảo Châu,D21CQIT01,7.1
N21DCPT097,Trịnh,Ngọc Trâm,D21CQIS03,8.8
N21DCPT098,Hồ,Quý Đạt,D21CQTE02,7.6
N21DCPT099,Lâm,Thiên Hương,D21CQPM03,8.5
N21DCPT100,Đinh,Bảo Khang,D21CQIT02,6.7
N22DCPT001,Nguyễn,Diệu Linh,D22CQPM01,8.9
N22DCPT002,Trần,Hữu Phước,D22CQIT02,7.3
N22DCPT003,Lê,Ngọc Hạnh,D22CQIS01,9.2
N22DCPT004,Phạm,Quang Thắng,D22CQTE03,6.7
N22DCPT005,Võ,Mỹ Hạnh,D22CQPM02,8.4
N22DCPT006,Đỗ,Thành Đạt,D22CQIT01,7.8
N22DCPT007,Huỳnh,Thu Thảo,D22CQIS02,9.1
N22DCPT008,Ngô,Đức Huy,D22CQTE01,8.0
N22DCPT009,Đặng,Kiều Oanh,D22CQPM01,7.5
N22DCPT010,Bùi,Minh Hiếu,D22CQIT03,6.9
N22DCPT011,Trương,Yến Vy,D22CQPM01,8.3
N22DCPT012,Vũ,Tấn Đạt,D22CQIT01,7.1
