MSSV,Họ,Tên,Lớp,Điểm
N20DCPT001,Nguyễn,Văn Anh,D20CQPM01,8.5
N20DCPT002,Trần,Thị Bình,D20CQIT02,7.9
N20DCPT003,Lê,Hoàng Cường,D20CQIS01,9.1
N20DCPT004,Phạm,Minh Đức,D20CQTE03,6.5
N20DCPT005,Võ,Ngọc Hạnh,D20CQPM02,8.8
N20DCPT006,Đỗ,Thanh Hùng,D20CQIT01,7.2
N20DCPT007,Huỳnh,Bảo Linh,D20CQIS02,9.5
N20DCPT008,Ngô,Gia Khánh,D20CQTE01,8.1
N20DCPT009,Đặng,Mỹ Linh,D20CQPM01,7.6
N20DCPT010,Bùi,Tuấn Việt,D20CQIT03,6.9
N20DCPT011,Trương,Ánh Dương,D20CQPM01,8.2
N20DCPT012,Vũ,Đức Thành,D20CQIT01,7.4
N20DCPT013,Cao,Linh Chi,D20CQIS03,9.0
N20DCPT014,Mai,Long Vũ,D20CQTE02,6.8
N20DCPT015,Lý,Hiền Thảo,D20CQPM03,8.6
N20DCPT016,Dương,Khánh Linh,D20CQIT02,7.1
N20DCPT017,Trịnh,Thảo Nguyên,D20CQIS01,9.3
N20DCPT018,Hồ,Đạt Nguyên,D20CQTE01,7.0
N20DCPT019,Lâm,Thu Hà,D20CQPM02,8.4
N20DCPT020,Đinh,Nam Phong,D20CQIT03,6.7
N20DCPT021,Nguyễn,Lân Anh,D20CQIS02,9.2
N20DCPT022,Trần,Hùng Phát,D20CQTE03,7.3
N20DCPT023,Lê,Mai Phương,D20CQPM01,8.0
N20DCPT024,Phạm,Sơn Tùng,D20CQIT01,7.7
N20DCPT025,Võ,Hương Giang,D20CQIS03,8.9
N20DCPT026,Đỗ,Phong Vũ,D20CQTE02,6.6
N20DCPT027,Huỳnh,Nga My,D20CQPM03,8.3
N20DCPT028,Ngô,Vinh Khang,D20CQIT02,7.5
N20DCPT029,Đặng,Hoa Sen,D20CQIS01,9.4
N20DCPT030,Bùi,Quang Minh,D20CQTE01,6.9
